Product Name,Brand,Ingredients,Health Risk Numerical Data,Health Risk Level,Long-Term Health Effects,Skin Type Numerical Data,Skin Type,Age Group Numerical Data,Age Group,Price,Rupees,Rating,Usage Instructions
Anti-Aging Coenzyme Q10 Serum,Brand IIII,"Water, Ubiquinone (Coenzyme Q10), Glycerin, Butylene Glycol",202,Low,Reduces signs of aging and protects against free radicals,6,All,101,Adult,$70 ,5950,4.7,Apply a small amount onto clean skin and gently pat until absorbed
Replenishing Squalane Serum,Brand JJJJ,"Squalane, Caprylic/Capric Triglyceride, Tocopheryl Acetate",202,Low,Hydrates and locks in moisture,15,"Dry, Normal",101,Adult,$75 ,6375,4.6,Apply a few drops onto clean skin and gently massage until absorbed
Revitalizing Ginseng Serum,Brand KKKK,"Water, Panax Ginseng Root Extract, Glycerin, Butylene Glycol",202,Low,Energizes and revitalizes skin,6,All,101,Adult,$80 ,6800,4.8,Apply onto clean skin and gently massage until absorbed
Soothing Centella Asiatica Serum,Brand LLLL,"Water, Centella Asiatica Extract, Butylene Glycol, Glycerin",202,Low,Calms and reduces redness,2,Sensitive,101,Adult,$85 ,7225,4.7,Apply onto clean skin and gently pat until absorbed
Hydrating Aloe Vera Serum,Brand MMMM,"Aloe Barbadensis Leaf Juice, Glycerin, Butylene Glycol, Sodium Hyaluronate",202,Low,Hydrates and soothes skin,6,All,101,Adult,$90 ,7650,4.6,Apply a small amount onto clean skin and gently pat until absorbed
Moisturizing Argan Oil Serum,Brand NNNN,"Argania Spinosa (Argan) Kernel Oil, Tocopheryl Acetate, Butylene Glycol",202,Low,Nourishes and softens skin,15,"Dry, Normal",101,Adult,$95 ,8075,4.8,Apply a few drops onto clean skin and gently massage until absorbed
Rejuvenating Vitamin E Serum,Brand OOOO,"Tocopheryl Acetate, Glycerin, Butylene Glycol, Sodium Hyaluronate",202,Low,Moisturizes and protects skin,6,All,101,Adult,$100 ,8500,4.7,Apply a small amount onto clean skin and gently massage until absorbed
Illuminating Pearl Serum,Brand PPPP,"Water, Pearl Powder, Glycerin, Butylene Glycol",202,Low,Brightens and evens skin tone,6,All,101,Adult,$105 ,8925,4.6,Apply onto clean skin and gently massage until absorbed
Calming Chamomile Serum,Brand QQQQ,"Water, Chamomilla Recutita (Matricaria) Flower Extract, Butylene Glycol",202,Low,Soothes and reduces irritation,2,Sensitive,101,Adult,$110 ,9350,4.8,Apply onto clean skin and gently pat until absorbed
Replenishing Avocado Serum,Brand RRRR,"Persea Gratissima (Avocado) Oil, Tocopheryl Acetate, Glycerin",202,Low,Nourishes and restores skin's moisture barrier,14,"Dry, Mature",101,Adult,$115 ,9775,4.7,Apply a few drops onto clean skin and gently massage until absorbed
Brightening Arbutin Serum,Brand SSSS,"Water, Arbutin, Butylene Glycol, Glycerin, Sodium Hyaluronate",202,Low,Brightens and improves skin tone,6,All,101,Adult,$120 ,10200,4.6,Apply onto clean skin and gently massage until absorbed
Soothing Green Tea Serum,Brand TTTT,"Camellia Sinensis (Green Tea) Leaf Extract, Glycerin, Butylene Glycol",202,Low,Calms and reduces inflammation,2,Sensitive,101,Adult,$125 ,10625,4.8,Apply onto clean skin and gently pat until absorbed
Soothing Green Tea Serum,Brand TTTT,"Camellia Sinensis (Green Tea) Leaf Extract, Glycerin, Butylene Glycol",202,Low,Calms and reduces inflammation,2,Sensitive,101,Adult,$125 ,10625,4.8,Apply onto clean skin and gently pat until absorbed
Clarifying Tea Tree Serum,Brand UUUU,"Melaleuca Alternifolia (Tea Tree) Leaf Oil, Glycerin, Butylene Glycol",202,Low,Clarifies and reduces blemishes,26,"Oily, Acne-prone",101,Adult,$130 ,11050,4.7,Apply onto clean skin and gently massage until absorbed
Hydrating Cucumber Serum,Brand VVVV,"Cucumis Sativus (Cucumber) Fruit Extract, Glycerin, Butylene Glycol",202,Low,Hydrates and refreshes skin,6,All,101,Adult,$135 ,11475,4.6,Apply a small amount onto clean skin and gently pat until absorbed
Revitalizing Ginseng Serum,Brand WWWW,"Panax Ginseng Root Extract, Glycerin, Butylene Glycol",202,Low,Energizes and revitalizes skin,6,All,101,Adult,$140 ,11900,4.8,Apply onto clean skin and gently massage until absorbed
Firming DMAE Serum,Brand XXXX,"Dimethylaminoethanol (DMAE), Glycerin, Butylene Glycol",202,Low,Firms and tightens skin,6,All,101,Adult,$145 ,12325,4.7,Apply onto clean skin and gently massage until absorbed
Radiant Rosehip Serum,Brand YYYY,"Rosa Canina (Rosehip) Fruit Oil, Glycerin, Butylene Glycol",202,Low,Brightens and rejuvenates skin complexion,6,All,101,Adult,$150 ,12750,4.6,Apply onto clean skin and gently pat until absorbed
Precision Liquid Liner,Brand AAAA,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Defines eyes with precision,6,All,101,Adult,$10 ,850,4.7,Shake well before use. Apply along the lash line with a steady hand for precise application.
Gel Eyeliner,Brand BBBB,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,"Provides long-lasting, smudge-proof color",6,All,101,Adult,$15 ,1275,4.8,"Use an eyeliner brush to apply along the lash line, starting from the inner corner and extending outward."
Waterproof Pencil Liner,Brand CCCC,"Cyclopentasiloxane, Polyethylene, Synthetic Wax",202,Low,Creates defined lines that last all day,6,All,101,Adult,$20 ,1700,4.6,Glide along the lash line for precise application. Can be smudged for a smoky effect or left as is for definition.
Kohl Eyeliner Pencil,Brand DDDD,"Isododecane, Synthetic Wax, Hydrogenated Polydicyclopentadiene",202,Low,Intensely pigmented for dramatic looks,6,All,101,Adult,$25 ,2125,4.7,Apply along the waterline or lash line for intense color payoff. Can be smudged for a softer look.
Twist-Up Retractable Liner,Brand EEEE,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Effortlessly glides on for easy application,6,All,101,Adult,$30 ,2550,4.8,Twist up to reveal the liner tip and apply along the lash line. Twist back down after use to prevent breakage.
Felt Tip Eyeliner,Brand FFFF,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Delivers precise lines with control,6,All,101,Adult,$35 ,2975,4.7,"Shake well before use. Draw along the lash line for a bold, defined look."
Gel Pencil Eyeliner,Brand GGGG,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Combines the ease of a pencil with the intensity of a gel,6,All,101,Adult,$40 ,3400,4.6,"Glide along the lash line for smooth, pigmented color. Can be smudged for a softer look."
Liquid Eyeliner Pen,Brand HHHH,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Creates sharp, defined lines",6,All,101,Adult,$45 ,3825,4.8,"Shake well before use. Draw along the lash line, starting from the inner corner and extending outward."
Smudge-proof Eyeliner,Brand IIII,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Resists smudging for all-day wear,6,All,101,Adult,$50 ,4250,4.7,Glide along the lash line for precise application. Can be smudged for a smoky effect.
Liquid Gel Eyeliner,Brand JJJJ,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,Combines the intensity of gel with the ease of liquid,6,All,101,Adult,$55 ,4675,4.6,Shake well before use. Apply along the lash line with the precision tip for defined lines.
Waterproof Liquid Liner,Brand KKKK,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Provides long-lasting wear,6,All,101,Adult,$60 ,5100,4.8,"Shake well before use. Draw along the lash line for intense, waterproof color."
Dual-ended Eyeliner,Brand LLLL,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Offers versatility with two liner options,6,All,101,Adult,$65 ,5525,4.7,Use the pencil end for a smudged look and the liquid end for precise lines.
Twist-Up Gel Liner,Brand MMMM,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Glides on smoothly for easy application,6,All,101,Adult,$70 ,5950,4.6,Twist up to reveal the liner tip and apply along the lash line. Twist back down after use to prevent breakage.
Waterproof Kohl Liner,Brand NNNN,"Isododecane, Synthetic Wax, Hydrogenated Polydicyclopentadiene",202,Low,Provides intense color that lasts,6,All,101,Adult,$75 ,6375,4.8,"Apply along the waterline or lash line for bold, waterproof color. Can be smudged for a softer look."
Gel Pen Eyeliner,Brand OOOO,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Delivers precise lines with ease,6,All,101,Adult,$80 ,6800,4.7,Twist up to reveal the gel tip and apply along the lash line. Twist back down after use to prevent drying out.
Precision Brush Liner,Brand PPPP,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Allows for precise application,6,All,101,Adult,$85 ,7225,4.6,"Shake well before use. Draw along the lash line using short strokes for a precise, defined look."
Long-wear Liquid Liner,Brand QQQQ,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Stays put for extended wear,6,All,101,Adult,$90 ,7650,4.8,"Shake well before use. Draw along the lash line for long-lasting, smudge-proof color."
Retractable Eyeliner,Brand RRRR,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Convenient and easy to use,6,All,101,Adult,$95 ,8075,4.7,Twist up to reveal the liner tip and apply along the lash line. Twist back down after use to prevent breakage.
Intense Gel Liner,Brand SSSS,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,"Provides rich, pigmented color",6,All,101,Adult,$100 ,8500,4.6,Apply along the lash line with a brush or the built-in applicator for intense color payoff.
Precision Liquid Pen,Brand TTTT,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Offers precision and control,6,All,101,Adult,$105 ,8925,4.8,"Shake well before use. Draw along the lash line for precise, defined lines."
Waterproof Gel Liner,Brand UUUU,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Resists water for long-lasting wear,6,All,101,Adult,$110 ,9350,4.7,"Apply along the lash line for intense, waterproof color."
Smudge-proof Gel Liner,Brand VVVV,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,Prevents smudging throughout the day,6,All,101,Adult,$115 ,9775,4.6,"Apply along the lash line with a brush or the built-in applicator for precise, smudge-proof lines."
Precision Felt Tip Liner,Brand WWWW,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Delivers sharp lines with ease,6,All,101,Adult,$120 ,10200,4.8,"Shake well before use. Draw along the lash line for precise, defined lines."
Gel Liner Pot,Brand XXXX,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,"Provides creamy, pigmented color",6,All,101,Adult,$125 ,10625,4.7,"Use a brush to apply along the lash line for bold, defined lines."
Liquid Ink Liner,Brand YYYY,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Creates bold, intense lines",6,All,101,Adult,$130 ,11050,4.6,"Shake well before use. Draw along the lash line for dramatic, liquid-like color."
Smudge-proof Liquid Liner,Brand ZZZZ,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Resists smudging for all-day wear,6,All,101,Adult,$135 ,11475,4.8,"Shake well before use. Draw along the lash line for precise, smudge-proof lines."
Waterproof Liquid Liner,Brand AAAAA,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Provides long-lasting, waterproof color",6,All,101,Adult,$140 ,11900,4.7,Shake well before use. Draw along the lash line for intense color.
Precision Liquid Pen,Brand BBBBB,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Offers precision and control,6,All,101,Adult,$145 ,12325,4.6,Shake well before use. Draw along the lash line for precise lines.
Gel Liner Pot,Brand CCCCC,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,"Provides creamy, pigmented color",6,All,101,Adult,$150 ,12750,4.8,"Use a brush to apply along the lash line for bold, defined lines."
Liquid Ink Liner,Brand DDDDD,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Creates bold, intense lines",6,All,101,Adult,$155 ,13175,4.7,Shake well before use. Draw along the lash line for dramatic color.
Smudge-proof Liquid Liner,Brand EEEEE,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Resists smudging for all-day wear,6,All,101,Adult,$160 ,13600,4.6,Shake well before use. Draw along the lash line for precise lines.
Waterproof Gel Liner,Brand FFFFF,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Resists water for long-lasting wear,6,All,101,Adult,$165 ,14025,4.8,"Apply along the lash line for intense, waterproof color."
Smudge-proof Gel Liner,Brand GGGGG,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,Prevents smudging throughout the day,6,All,101,Adult,$170 ,14450,4.7,"Apply along the lash line for precise, smudge-proof lines."
Precision Felt Tip Liner,Brand HHHHH,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Delivers sharp lines with ease,6,All,101,Adult,$175 ,14875,4.6,Shake well before use. Draw along the lash line for precise lines.
Waterproof Liquid Liner,Brand IIIII,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Provides long-lasting, waterproof color",6,All,101,Adult,$180 ,15300,4.8,Shake well before use. Draw along the lash line for intense color.
Precision Liquid Pen,Brand JJJJJ,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Offers precision and control,6,All,101,Adult,$185 ,15725,4.7,Shake well before use. Draw along the lash line for precise lines.
Gel Liner Pot,Brand KKKKK,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,"Provides creamy, pigmented color",6,All,101,Adult,$190 ,16150,4.6,"Use a brush to apply along the lash line for bold, defined lines."
Liquid Ink Liner,Brand LLLLL,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Creates bold, intense lines",6,All,101,Adult,$195 ,16575,4.8,Shake well before use. Draw along the lash line for dramatic color.
Smudge-proof Liquid Liner,Brand MMMMM,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Resists smudging for all-day wear,6,All,101,Adult,$200 ,17000,4.7,Shake well before use. Draw along the lash line for precise lines.
Waterproof Gel Liner,Brand NNNNN,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,Resists water for long-lasting wear,6,All,101,Adult,$205 ,17425,4.6,"Apply along the lash line for intense, waterproof color."
Smudge-proof Gel Liner,Brand OOOOO,"Isododecane, Cyclopentasiloxane, Trimethylsiloxysilicate",202,Low,Prevents smudging throughout the day,6,All,101,Adult,$210 ,17850,4.8,"Apply along the lash line for precise, smudge-proof lines."
Precision Felt Tip Liner,Brand PPPPP,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Delivers sharp lines with ease,6,All,101,Adult,$215 ,18275,4.7,Shake well before use. Draw along the lash line for precise lines.
Waterproof Liquid Liner,Brand QQQQQ,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Provides long-lasting, waterproof color",6,All,101,Adult,$220 ,18700,4.6,Shake well before use. Draw along the lash line for intense color.
Precision Liquid Pen,Brand RRRRR,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,Offers precision and control,6,All,101,Adult,$225 ,19125,4.8,Shake well before use. Draw along the lash line for precise lines.
Gel Liner Pot,Brand SSSSS,"Cyclopentasiloxane, Trimethylsiloxysilicate, Synthetic Wax",202,Low,"Provides creamy, pigmented color",6,All,101,Adult,$230 ,19550,4.7,"Use a brush to apply along the lash line for bold, defined lines."
Liquid Ink Liner,Brand TTTTT,"Water, Styrene/Acrylates Copolymer, Black Iron Oxide",202,Low,"Creates bold, intense lines",6,All,101,Adult,$235 ,19975,4.6,Shake well before use. Draw along the lash line for dramatic color.
Radiant Glow Cream,Brand AAAAA,"Water, Niacinamide, Dimethicone, Glycerin, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol",202,Low,"Brightens complexion, evens out skin tone, reduces hyperpigmentation",6,All,101,Adult,$25 ,2125,4.7,Apply a small amount onto cleansed face and neck. Gently massage until absorbed. Use twice daily for best results.
Luminescence Brightening Cream,Brand BBBBB,"Water, Glycolic Acid, Arbutin, Lactic Acid, Caprylic/Capric Triglyceride, Glycerin",202,Low,"Exfoliates dead skin cells, reduces dark spots, promotes radiant skin",6,All,101,Adult,$30 ,2550,4.8,"Apply a pea-sized amount onto clean, dry skin. Gently massage until fully absorbed. Use sunscreen during the day."
Radiant Complexion Cream,Brand CCCCC,"Water, Ascorbic Acid, Dimethicone, Cetyl Alcohol, Glyceryl Stearate, Butylene Glycol",202,Low,"Enhances skin radiance, reduces dullness, improves skin texture",6,All,101,Adult,$35 ,2975,4.6,Apply a thin layer onto clean face and neck. Gently massage until absorbed. Use sunscreen during the day.
Glow Boost Brightening Cream,Brand DDDDD,"Water, Vitamin E, Licorice Extract, Alpha Arbutin, Caprylic/Capric Triglyceride, Cetearyl Alcohol",202,Low,"Boosts natural radiance, evens skin tone, fades dark spots",6,All,101,Adult,$40 ,3400,4.7,Apply a dime-sized amount onto cleansed face and neck. Massage gently until fully absorbed. Use twice daily.
Illuminating Face Cream,Brand EEEEE,"Water, Kojic Acid, Glycolic Acid, Niacinamide, Sodium Hyaluronate, Caprylic/Capric Triglyceride",202,Low,"Illuminates skin, reduces discoloration, hydrates and plumps skin",6,All,101,Adult,$45 ,3825,4.8,"Apply a small amount onto clean, dry skin. Massage gently until fully absorbed. Use sunscreen during the day."
Brightening Renewal Cream,Brand FFFFF,"Water, Retinol, Vitamin C, Hyaluronic Acid, Squalane, Cetearyl Alcohol",202,Low,"Renews skin, reduces fine lines and wrinkles, brightens complexion",6,All,101,Adult,$50 ,4250,4.7,"Apply a pea-sized amount onto clean, dry skin. Gently massage until fully absorbed. Use sunscreen during the day."
Radiance Boost Cream,Brand GGGGG,"Water, Lactic Acid, Licorice Extract, Vitamin B3, Caprylic/Capric Triglyceride, Glycerin",202,Low,"Boosts radiance, evens out skin tone, improves skin texture",6,All,101,Adult,$55 ,4675,4.6,Apply a thin layer onto cleansed face and neck. Massage gently until fully absorbed. Use sunscreen during the day.
Glow Revival Brightening Cream,Brand HHHHH,"Water, Alpha Arbutin, Vitamin E, Glycolic Acid, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol",202,Low,"Revives dull skin, reduces dark spots, moisturizes and softens skin",6,All,101,Adult,$60 ,5100,4.8,Apply a dime-sized amount onto cleansed face and neck. Massage gently until fully absorbed. Use sunscreen during the day.
Luminate Complex Cream,Brand IIIII,"Water, Niacinamide, Sodium Ascorbyl Phosphate, Hyaluronic Acid, Dimethicone, Cetearyl Alcohol",202,Low,"Brightens complexion, reduces pigmentation, hydrates skin",6,All,101,Adult,$65 ,5525,4.7,Apply a small amount onto clean face and neck. Gently massage until absorbed. Use sunscreen during the day.
Brilliance Brightening Cream,Brand JJJJJ,"Water, Vitamin C, Licorice Extract, Alpha Arbutin, Caprylic/Capric Triglyceride, Cetearyl Alcohol",202,Low,"Enhances skin radiance, reduces dark spots, promotes even skin tone",6,All,101,Adult,$70 ,5950,4.6,"Apply a thin layer onto clean, dry skin. Gently massage until fully absorbed. Use sunscreen during the day."
Lumina Brightening Cream,Brand LLLLL,"Water, Tranexamic Acid, Ascorbic Acid, Niacinamide, Sodium Hyaluronate, Caprylic/Capric Triglyceride",202,Low,"Brightens complexion, reduces dark spots, hydrates skin",6,All,101,Adult,$80 ,6800,4.7,"Apply a pea-sized amount onto clean, dry skin. Gently massage until absorbed. Use sunscreen during the day."
Bright Essence Cream,Brand MMMMM,"Water, Alpha Arbutin, Glycolic Acid, Vitamin C, Squalane, Cetearyl Alcohol",202,Low,"Evens out skin tone, promotes radiance, minimizes fine lines",6,All,101,Adult,$85 ,7225,4.6,Apply a thin layer onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
Luminosity Boost Cream,Brand NNNNN,"Water, Kojic Acid, Vitamin B3, Licorice Extract, Hyaluronic Acid, Caprylic/Capric Triglyceride",202,Low,"Enhances skin luminosity, reduces pigmentation, plumps skin",6,All,101,Adult,$90 ,7650,4.8,Apply a dime-sized amount onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
Glow Renewal Cream,Brand OOOOO,"Water, Retinol, Vitamin E, Glycolic Acid, Niacinamide, Caprylic/Capric Triglyceride",202,Low,"Renews skin, diminishes dark spots, smooths skin texture",6,All,101,Adult,$95 ,8075,4.7,"Apply a small amount onto clean, dry skin. Gently massage until absorbed. Use sunscreen during the day."
Brilliance Radiance Cream,Brand PPPPP,"Water, Vitamin C, Alpha Arbutin, Licorice Extract, Hyaluronic Acid, Butyrospermum Parkii (Shea) Butter",202,Low,"Enhances skin brilliance, fades discoloration, hydrates skin",6,All,101,Adult,$100 ,8500,4.6,Apply a thin layer onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
Illuminate Brightening Cream,Brand QQQQQ,"Water, Niacinamide, Glycolic Acid, Vitamin C, Squalane, Cetearyl Alcohol",202,Low,"Brightens complexion, improves skin texture, reduces dark spots",6,All,101,Adult,$105 ,8925,4.8,Apply a pea-sized amount onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
Radiant Glow Cream,Brand RRRRR,"Water, Tranexamic Acid, Ascorbic Acid, Niacinamide, Sodium Hyaluronate, Caprylic/Capric Triglyceride",202,Low,"Brightens complexion, evens out skin tone, reduces hyperpigmentation",6,All,101,Adult,$110 ,9350,4.7,Apply a small amount onto cleansed face and neck. Gently massage until absorbed. Use sunscreen during the day.
Lumina Brightening Cream,Brand SSSSS,"Water, Alpha Arbutin, Glycolic Acid, Vitamin C, Squalane, Cetearyl Alcohol",202,Low,"Evens out skin tone, promotes radiance, minimizes fine lines",6,All,101,Adult,$115 ,9775,4.6,Apply a thin layer onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
Bright Essence Cream,Brand TTTTT,"Water, Tranexamic Acid, Ascorbic Acid, Niacinamide, Sodium Hyaluronate, Caprylic/Capric Triglyceride",202,Low,"Brightens complexion, reduces dark spots, hydrates skin",6,All,101,Adult,$120 ,10200,4.8,"Apply a pea-sized amount onto clean, dry skin. Gently massage until absorbed. Use sunscreen during the day."
Luminosity Boost Cream,Brand UUUUU,"Water, Kojic Acid, Vitamin B3, Licorice Extract, Hyaluronic Acid, Caprylic/Capric Triglyceride",202,Low,"Enhances skin luminosity, reduces pigmentation, plumps skin",6,All,101,Adult,$125 ,10625,4.7,Apply a dime-sized amount onto cleansed face and neck. Massage gently until absorbed. Use sunscreen during the day.
BrowMaster Pencil,Brand AAAAA,"Hydrogenated Soybean Oil, C12-15 Alkyl Ethylhexanoate, Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax",202,Low,"Defines brows, long-lasting wear",6,All,101,Adult,$10 ,850,4.7,Use the pencil to fill in sparse areas and shape the brows.
Sculpt & Define Brow Pencil,Brand BBBBB,"C10-18 Triglycerides, Synthetic Wax, Hydrogenated Vegetable Oil, Mica, Iron Oxides, Titanium Dioxide",202,Low,"Creates precise lines, enhances brow shape",6,All,101,Adult,$12 ,1020,4.6,"Use the spoolie to brush brows into place, then fill in with the pencil for desired shape and definition."
Precision Brow Liner,Brand CCCCC,"Hydrogenated Palm Oil, Hydrogenated Soybean Oil, Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax",202,Low,"Offers precise application, natural finish",6,All,101,Adult,$14 ,1190,4.8,"Use short, light strokes to mimic natural brow hairs. Blend with spoolie for a seamless finish."
Brow Shaper Pencil,Brand DDDDD,"Hydrogenated Vegetable Oil, Synthetic Beeswax, Copernicia Cerifera (Carnauba) Wax, Microcrystalline Wax, Castor Oil",202,Low,"Shapes and fills brows, easy to blend",6,All,101,Adult,$16 ,1360,4.7,"Use the pencil to outline and fill in brows, then blend with spoolie for a natural look."
Define & Fill Brow Pencil,Brand EEEEE,"C10-18 Triglycerides, Synthetic Wax, Hydrogenated Vegetable Oil, Mica, Iron Oxides, Titanium Dioxide",202,Low,"Defines and fills brows, buildable color",6,All,101,Adult,$18 ,1530,4.6,"Use the angled tip to outline and define brows, then fill in with the flat side. Blend with spoolie for a natural finish."
Brow Precision Pencil,Brand FFFFF,"Hydrogenated Soybean Oil, C12-15 Alkyl Ethylhexanoate, Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax",202,Low,"Delivers precise application, smudge-proof",6,All,101,Adult,$20 ,1700,4.8,"Use short, upward strokes to fill in and define brows. Blend with spoolie for a natural finish."
Ultrafine Brow Liner,Brand GGGGG,"Hydrogenated Palm Oil, Hydrogenated Soybean Oil, Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax",202,Low,"Creates ultrafine lines, natural look",6,All,101,Adult,$22 ,1870,4.7,"Use the fine tip to draw individual brow hairs for a natural, defined look. Blend with spoolie as needed."
Brow Sculpting Pencil,Brand HHHHH,"Hydrogenated Vegetable Oil, Synthetic Beeswax, Copernicia Cerifera (Carnauba) Wax, Microcrystalline Wax, Castor Oil",202,Low,"Shapes and sculpts brows, long-lasting",6,All,101,Adult,$24 ,2040,4.6,"Use the pencil to outline and fill in brows, then blend with spoolie for a polished finish."
Brow Precision Liner,Brand IIIII,"C10-18 Triglycerides, Synthetic Wax, Hydrogenated Vegetable Oil, Mica, Iron Oxides, Titanium Dioxide",202,Low,"Delivers precise application, natural finish",6,All,101,Adult,$26 ,2210,4.8,"Use short, light strokes to mimic natural brow hairs. Blend with spoolie for a seamless finish."
Brow Defining Pencil,Brand JJJJJ,"Hydrogenated Soybean Oil, C12-15 Alkyl Ethylhexanoate, Synthetic Japan Wax, Copernicia Cerifera (Carnauba) Wax",202,Low,"Defines and shapes brows, smudge-proof",6,All,101,Adult,$28 ,2380,4.7,"Use short, upward strokes to fill in and define brows. Blend with spoolie for a natural finish."
Gentle Cleansing Oil,Brand AAAAA,"Caprylic/Capric Triglyceride, Olive Oil, Sunflower Oil, Tocopherol (Vitamin E), Sorbitan Oleate, Polyglyceryl-4 Laurate",202,Low,"Gently removes makeup, hydrates skin",6,All,101,Adult,$10 ,850,4.7,Dispense onto dry hands and massage onto dry face to dissolve makeup. Rinse thoroughly with water or wipe off with a cloth.
Micellar Water,Brand BBBBB,"Water, PEG-6 Caprylic/Capric Glycerides, Propanediol, Glycerin, Poloxamer 184, Allantoin",202,Low,"Removes makeup and impurities, soothes skin",6,All,101,Adult,$12 ,1020,4.6,Soak a cotton pad with micellar water and gently wipe over face and eyes. No rinsing required.
Dual-Phase Makeup Remover,Brand CCCCC,"Water, Cyclopentasiloxane, Isohexadecane, Isopropyl Palmitate, Sodium Chloride, Benzyl Alcohol",202,Low,"Removes waterproof makeup, non-greasy formula",6,All,101,Adult,$14 ,1190,4.8,Shake well to mix the two phases. Apply to a cotton pad and gently wipe over eyes and lips to remove makeup.
Cleansing Balm,Brand DDDDD,"Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Polyethylene, PEG-20 Glyceryl Triisostearate, Tocopherol",202,Low,"Melts away makeup, nourishes skin",6,All,101,Adult,$16 ,1360,4.7,Scoop a small amount onto dry hands and massage onto dry face to dissolve makeup. Rinse thoroughly with water.
Makeup Removing Wipes,Brand EEEEE,"Water, Glycerin, Sodium Benzoate, Citric Acid, Cetylpyridinium Chloride, Phenoxyethanol",202,Low,"Convenient makeup removal, gentle on skin",6,All,101,Adult,$18 ,1530,4.6,Gently wipe over face and eyes to remove makeup. Reseal pack after use to prevent drying out.
Cleansing Oil,Brand FFFFF,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Caprylic/Capric Triglyceride, Polyglyceryl-4 Oleate, Tocopherol (Vitamin E), Parfum",202,Low,"Dissolves makeup, nourishes skin",6,All,101,Adult,$20 ,1700,4.8,"Massage onto dry face to dissolve makeup, then rinse thoroughly with water. Follow with a second cleanse if desired."
